Brand Name,Product Name,Price,Operating System,Processor,Memory,Storage,Display,Graphics
HP,HP 15-fc0064ca Laptop with Bonus Wireless mouse,$699.99,Windows 11 Home,AMD Ryzen™ 5 7520U,16 GB RAM,512 GB SSD,15.6" FHD,AMD Radeon™ Graphics,
HP,HP 15-fd1004ca Laptop with 12 months Microsoft 365 Personal and dual-mode wireless mouse,$1099.99,Windows 11 Home,Intel® Core™ 7 150U,16 GB RAM,1 TB SSD,15.6" FHD,Intel® Graphics,
HP,HP Envy x360 2-in-1 Laptop 16-ac0010ca,$1429.99,Windows 11 Home,Intel® Core™ Ultra 5 125U,16 GB RAM,512 GB SSD,16" 2K Touch screen,Intel® Graphics,
HP,HP Spectre x360 2-in-1 Laptop 16-aa0000ca (Space Blue) - GeForce® RTX 4050 + HP 3 year Pickup and Return with Accidental Damage Protection for Consumer Notebooks,$2199.98,Windows 11 Home,Intel® Core™ Ultra 7 155H,16 GB RAM,1 TB SSD,16" 2.8K OLED Touch screen  120 Hz  0.2 ms Response time,NVIDIA® GeForce RTX™ 4050 (6 GB),
HP,HP Spectre x360 2-in-1 Laptop 14-eu0000ca - Core™ Ultra 7  Blue with Pen + HP 3 year Pickup and Return with Accidental Damage Protection for Consumer Notebooks,$1999.98,Windows 11 Home,Intel® Core™ Ultra 7 155H,32 GB RAM,2 TB SSD,14" 3K OLED Touch screen  120 Hz  0.2 ms Response time,Intel® Arc™ Graphics,
HP,HP Chromebook 11 G9 Education Edition,$299.00,ChromeOS,Intel® Celeron® N4500,4 GB RAM,32 GB eMMC,11.6" HD,Intel® UHD Graphics,
HP,HP EliteBook Ultra 14 inch G1q Laptop AI PC,$1349.00,Windows 11 Pro,Snapdragon® X Elite,16 GB RAM,512 GB SSD,14" 2.2K Touch screen,Qualcomm® Adreno™ GPU,
HP,HP ZBook Firefly 14 inch G11 Mobile Workstation PC,$2499.00,Windows 11 Pro,Intel® Core™ Ultra 7 155H,32 GB RAM,1 TB SSD,14" WUXGA Touch screen,NVIDIA® RTX™ A500 (4 GB),
HP,HP ZBook Firefly 14 inch G11 Mobile Workstation PC Wolf Pro Security Edition,$2599.00,Windows 11 Pro,Intel® Core™ Ultra 7 165H,32 GB RAM,512 GB SSD,14" WUXGA Touch screen,NVIDIA® RTX™ A500 (4 GB),
HP,HP ZBook Power 16 inch G11 A Mobile Workstation PC,$2349.00,Windows 11 Pro,AMD Ryzen™ 7 8845HS,16 GB RAM,512 GB SSD,16" WUXGA Touch screen,NVIDIA® RTX™ A1000 (6 GB),
HP,HP EliteBook 840 14 inch G11 Notebook PC,$2259.00,Windows 11 Pro,Intel® Core™ Ultra 7 165U,32 GB RAM,512 GB SSD,14" WUXGA,Intel® Graphics,
HP,HP ZBook Firefly 14 inch G11 Mobile Workstation PC,$2699.00,Windows 11 Pro,Intel® Core™ Ultra 7 165H,32 GB RAM,1 TB SSD,14" WUXGA,NVIDIA® RTX™ A500 (4 GB),
HP,HP ZBook Firefly 14 inch G11 A Mobile Workstation PC,$2449.00,Windows 11 Pro,AMD Ryzen™ 9 8945HS,64 GB RAM,1 TB SSD,14" WUXGA,AMD Radeon™ 780M Graphics,
HP,HP ZBook Firefly 16 inch G11 Mobile Workstation PC,$2499.00,Windows 11 Pro,Intel® Core™ Ultra 7 155U,64 GB RAM,1 TB SSD,16" WUXGA,Intel® Graphics,
